;sp260223_002 ch: 1907283U1;;sp260223_002 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
331,8955;104,62994;316,1646;65,91246;
332,1844;105,50098;316,4518;68,275822;
332,4733;109,74314;316,7390;66,551189;
332,7622;101,20744;317,0261;68,307976;
333,0511;106,93087;317,3133;66,611979;
333,3400;105,59169;317,6005;65,675166;
333,6289;115,08435;317,8877;64,572802;
333,9178;113,08112;318,1749;61,71616;
334,2067;101,83135;318,4621;65,432313;
334,4956;104,85045;318,7493;61,160206;
334,7845;126,05021;319,0365;55,671999;
335,0734;106,52102;319,3237;64,019363;
335,3623;139,3441;319,6109;63,853915;
335,6512;123,54285;319,8981;63,476579;
335,9401;103,15324;320,1853;66,114174;
336,2290;103,82491;320,4724;61,930788;
336,5178;107,18479;320,7596;64,653638;
336,8067;104,85385;321,0468;65,614221;
337,0956;105,88993;321,3340;64,771105;
337,3845;103,7049;321,6212;67,696876;
337,6734;106,39685;321,9084;68,349969;
337,9623;114,38551;322,1956;68,700298;
338,2512;116,9055;322,4828;64,237145;
338,5401;109,75182;322,7700;68,772722;
338,8290;108,77255;323,0572;64,990973;
339,1179;129,13475;323,3444;65,667827;
339,4068;128,44024;323,6315;61,970431;
339,6957;106,79781;323,9187;61,777651;
339,9846;111,29729;324,2059;65,380038;
340,2735;112,32445;324,4931;65,902584;
340,5624;110,23581;324,7803;69,287512;
340,8513;108,4479;325,0675;66,609065;
341,1401;106,2219;325,3547;69,1312;
341,4290;111,1924;325,6419;66,546346;
341,7179;118,0965;325,9291;62,378955;
342,0068;124,70152;326,2163;62,13901;
342,2957;115,3791;326,5035;63,751887;
342,5846;108,51302;326,7907;64,133224;
342,8735;107,63027;327,0778;64,495856;
343,1624;108,20199;327,3650;60,816847;
343,4513;117,36242;327,6522;64,376242;
343,7402;110,3075;327,9394;66,758854;
344,0291;101,32885;328,2266;65,292045;
344,3180;96,162191;328,5138;65,730529;
344,6069;83,173837;328,8010;67,018299;
344,8958;82,577413;329,0882;68,942809;
345,1847;86,647926;329,3754;68,90066;
345,4736;92,357542;329,6626;67,553604;
345,7624;86,277927;329,9498;64,471132;
346,0513;84,819664;330,2369;65,634953;
346,3402;85,902901;330,5241;67,299874;
346,6291;79,394071;330,8113;62,647838;
346,9180;88,575997;331,0985;66,252392;
347,2069;95,871046;331,3857;63,374108;
347,4958;92,060907;331,6729;68,985111;
347,7847;92,313503;331,9601;72,476208;
348,0736;111,91991;332,2473;71,718156;
348,3625;119,62496;332,5345;69,098687;
348,6514;108,5024;332,8217;55,847425;
348,9403;110,42462;333,1089;66,292738;
349,2292;111,25556;333,3960;69,196529;
349,5181;116,10217;333,6832;59,695176;
349,8070;128,77589;333,9704;64,459541;
350,0959;127,75912;334,2576;71,64926;
350,3847;118,29544;334,5448;66,179553;
350,6736;113,35588;334,8320;66,21773;
350,9625;120,63958;335,1192;61,756924;
351,2514;111,921;335,4064;65,93494;
351,5403;110,91658;335,6936;67,450268;
351,8292;99,041816;335,9808;67,940997;
352,1181;108,5174;336,2680;69,941163;
352,4070;111,88192;336,5552;72,055939;
352,6959;120,38029;336,8423;67,901653;
352,9848;129,73308;337,1295;63,771661;
353,2737;132,23831;337,4167;67,069201;
353,5626;154,25107;337,7039;67,060506;
353,8515;158,0135;337,9911;64,258793;
354,1404;168,20453;338,2783;66,528974;
354,4293;197,62739;338,5655;69,145744;
354,7182;188,75039;338,8527;68,395417;
355,0071;195,53295;339,1399;66,774729;
355,2959;208,24189;339,4271;67,377058;
355,5848;207,22477;339,7143;67,094764;
355,8737;194,12657;340,0014;66,610205;
356,1626;181,23738;340,2886;65,333275;
356,4515;171,14254;340,5758;62,811958;
356,7404;155,94728;340,8630;63,48276;
357,0293;136,01588;341,1502;65,397762;
357,3182;136,50314;341,4374;68,887881;
357,6071;146,53639;341,7246;64,464574;
357,8960;146,93339;342,0118;65,391904;
358,1849;144,69561;342,2990;62,145152;
358,4738;139,86787;342,5862;66,849963;
