Wavelength [nm]	Intensity
411.6302	6761.4096
411.9191	6809.2865
412.208	6844.7241
412.4969	6941.9703
412.7858	6896.6023
413.0747	6975.4702
413.3636	6975.5773
413.6525	7044.3151
413.9414	7048.3314
414.2303	7097.3869
414.5192	7123.219
414.8081	7114.321
415.097	7143.284
415.3858	7205.6165
415.6747	7202.8658
415.9636	7258.5922
416.2525	7281.1309
416.5414	7314.0087
416.8303	7325.1613
417.1192	7351.4086
417.4081	7360.9798
417.697	7374.5095
417.9859	7378.4638
418.2748	7351.7758
418.5637	7299.538
418.8526	7292.7879
419.1415	7294.8141
419.4304	7272.3248
419.7193	7290.9928
420.0081	7317.7528
420.297	7353.5363
420.5859	7388.5626
420.8748	7464.958
421.1637	7524.9388
421.4526	7566.9947
421.7415	7605.0316
422.0304	7657.8711
422.3193	7693.3398
422.6082	7730.6461
422.8971	7702.2359
423.186	7761.7988
423.4749	7758.7372
423.7638	7759.3203
424.0527	7734.6147
424.3416	7776.6591
424.6304	7798.0227
424.9193	7830.5409
425.2082	7835.5447
425.4971	7884.1457
425.786	7855.3403
426.0749	7886.6149
426.3638	7897.0752
426.6527	7906.886
426.9416	7900.7909
427.2305	7920.3431
427.5194	7950.4168
427.8083	7981.2365
428.0972	7937.444
428.3861	7950.7213
428.675	7974.4773
428.9639	7988.4703
429.2527	7991.1832
429.5416	8017.6565
429.8305	8046.6386
430.1194	8051.9926
430.4083	8052.3406
430.6972	8094.7375
430.9861	8127.9774
431.275	8105.48
431.5639	8115.4751
431.8528	8135.3965
432.1417	8190.0696
432.4306	8184.4928
432.7195	8216.8874
433.0084	8243.7537
433.2973	8247.9921
433.5862	8287.525
433.875	8316.185
434.1639	8333.0903
434.4528	8375.4773
434.7417	8383.821
435.0306	8446.4295
435.3195	8451.2313
435.6084	8454.0521
435.8973	8390.4611
436.1862	8384.3266
436.4751	8351.107
436.764	8304.6156
437.0529	8294.592
437.3418	8315.9085
437.6307	8333.2145
437.9196	8407.2885
438.2085	8450.4855
438.4974	8521.2767
438.7862	8575.1253
439.0751	8684.9291
439.364	8744.8464
439.6529	8851.7978
439.9418	8887.1184
440.2307	8927.9697
440.5196	8964.7308
440.8085	9010.2358
441.0974	9028.9543
441.3863	9077.9534
441.6752	9127.6649
441.9641	9141.2207
442.253	9173.442
442.5419	9231.008
442.8308	9280.4216
443.1197	9310.4094
443.4085	9354.2468
443.6974	9388.7999
443.9863	9405.4293
444.2752	9398.0744
444.5641	9434.7088
444.853	9467.7588
445.1419	9527.774
445.4308	9608.227
445.7197	9687.8235
446.0086	9729.9233
446.2975	9842.5383
446.5864	9916.8413
446.8753	9940.0762
447.1642	10032.936
447.4531	10107.418
447.742	10153.63
448.0308	10208.003
448.3197	10282.899
448.6086	10386.64
448.8975	10437.988
449.1864	10446.444
449.4753	10515.457
449.7642	10606.379
450.0531	10669.898
450.342	10737.599
450.6309	10777.662
450.9198	10869.041
451.2087	10902.997
451.4976	11009.215
451.7865	11062.362
452.0754	11174.934
452.3643	11230.056
452.6531	11288.408
452.942	11368.097
453.2309	11434.99
453.5198	11521.148
453.8087	11649.79
454.0976	11721.297
454.3865	11782.525
454.6754	11881.695
454.9643	11954.406
455.2532	12055.086
455.5421	12177.119
455.831	12261.995
456.1199	12349.331
456.4088	12453.771
456.6977	12538.635
456.9866	12651.943
457.2754	12739.04
457.5643	12823.857
457.8532	12886.861
458.1421	12918.588
458.431	12901.457
458.7199	12961.478
459.0088	12902.571
459.2977	12921.259
459.5866	12935.035
459.8755	13058.315
460.1644	13166.364
460.4533	13290.165
460.7422	13348.662
461.0311	13625.753
461.32	13712.577
461.6089	13947.72
461.8977	14073.418
462.1866	14207.019
462.4755	14309.32
462.7644	14416.697
463.0533	14514.693
463.3422	14557.61
463.6311	14716.213
463.92	14877.21
464.2089	14939.39
464.4978	15023.859
464.7867	15091.357
465.0756	15196.878
465.3645	15271.949
465.6534	15385.295
465.9423	15450.295
466.2312	15574.085
466.52	15729.093
466.8089	15839.669
467.0978	15949.885
467.3867	16064.176
467.6756	16125.395
467.9645	16174.057
468.2534	16232.286
468.5423	16292.98
468.8312	16362.667
469.1201	16369.744
469.409	16451.938
469.6979	16475.078
469.9868	16621.123
470.2757	16758.53
470.5646	16945.692
470.8535	17087.369
471.1423	17223.322
471.4312	17352.874
471.7201	17572.951
472.009	17565.39
472.2979	17776.866
472.5868	17882.669
472.8757	17946.041
473.1646	17969.571
473.4535	18126.66
473.7424	18203.81
474.0313	18432.832
474.3202	18522.548
474.6091	18639.411
474.898	18775.934
475.1869	18845.427
475.4758	18959.036
475.7646	19145.985
476.0535	19167.48
476.3424	19441.174
476.6313	19380.105
476.9202	19537.727
477.2091	19567.861
477.498	19729.094
477.7869	19764.094
478.0758	19733.886
478.3647	19693.874
478.6536	19790.135
478.9425	19867.249
479.2314	19924.486
479.5203	20013.908
479.8092	20174.28
480.0981	20272.843
480.3869	20429.838
480.6758	20636.72
480.9647	20791.069
481.2536	20944.328
481.5425	21140.804
481.8314	21379.999
482.1203	21462.906
482.4092	21464.462
